institution_name,OPEID,conference,short_name
Saint Peter's University,263800,MAAC,Saint Peter's
Siena College,281600,MAAC,Siena
Coppin State University,206800,MEAC,Coppin State
Howard University,144800,MEAC,Howard
Morgan State University,208300,MEAC,Morgan State
Norfolk State University,376500,MEAC,Norfolk State
North Carolina Central University,295000,MEAC,NC Central
University of Maryland Eastern Shore,210600,MEAC,UMES
Ball State University,178600,Mid-American,Ball State
Bowling Green State University-Main Campus,301800,Mid-American,Bowling Green
Central Michigan University,224300,Mid-American,Central Michigan
Eastern Michigan University,225900,Mid-American,Eastern Michigan
Kent State University at Kent,305100,Mid-American,Kent State
Miami University-Oxford,307700,Mid-American,Miami (OH)
Northern Illinois University,173700,Mid-American,Northern Illinois
Ohio University-Main Campus,310000,Mid-American,Ohio
University at Buffalo,283700,Mid-American,Buffalo
University of Akron Main Campus,312300,Mid-American,Akron
University of Massachusetts-Amherst,222100,Atlantic 10,UMass
University of Toledo,313100,Mid-American,Toledo
Western Michigan University,233000,Mid-American,Western Michigan
Boise State University,161600,Mountain West,Boise State
California State University-Fresno,114700,Mountain West,Fresno State
Colorado State University-Fort Collins,135000,Mountain West,Colorado State
Grand Canyon University,107400,WAC,Grand Canyon
San Diego State University,115100,Mountain West,San Diego State
San Jose State University,115500,Mountain West,San Jose State
University of Hawaii at Manoa,161000,Big West,Hawaii
University of Nevada-Las Vegas,256900,Mountain West,UNLV
University of Nevada-Reno,256800,Mountain West,Nevada
University of New Mexico-Main Campus,266300,Mountain West,New Mexico
University of Wyoming,393200,Mountain West,Wyoming
Utah State University,367700,Mountain West,Utah State
Belmont University,347900,MVC,Belmont
Bradley University,164100,MVC,Bradley
Drake University,186000,MVC,Drake
Indiana State University,180700,MVC,Indiana State
Murray State University,197700,MVC,Murray State
University of Evansville,179500,MVC,Evansville
Valparaiso University,184200,MVC,Valparaiso
Central Connecticut State University,137800,NEC,Central Connecticut
Chicago State University,169400,NEC,Chicago State
Fairleigh Dickinson University-Metropolitan Campus,260700,NEC,FDU
Le Moyne College,274800,NEC,Le Moyne
Long Island University,275100,NEC,LIU
Saint Francis University,336600,NEC,Saint Francis (PA)
Stonehill College,221700,NEC,Stonehill
Wagner College,289900,NEC,Wagner
Eastern Illinois University,167400,OVC,Eastern Illinois
Lindenwood University,248000,OVC,Lindenwood
Morehead State University,197600,OVC,Morehead State
Southeast Missouri State University,250100,OVC,Southeast Missouri State
Southern Illinois University-Edwardsville,175900,OVC,SIUE
Oregon State University,321000,Pac-12,Oregon State
Washington State University,380000,Pac-12,Washington State
American University,143400,Patriot,American
Boston University,213000,Patriot,Boston University
Bucknell University,323800,Patriot,Bucknell
Colgate University,270100,Patriot,Colgate
College of the Holy Cross,214100,Patriot,Holy Cross
Lafayette College,328400,Patriot,Lafayette
Lehigh University,328900,Patriot,Lehigh
St. John's University-New York,282300,Big East,St. John's
University of California-Davis,131300,Big West,UC Davis
University of California-Irvine,131400,Big West,UC Irvine
University of California-Riverside,131600,Big West,UC Riverside
Alabama State University,100500,SWAC,Alabama State
Auburn University,100900,SEC,Auburn
Citadel Military College of South Carolina,342300,SoCon,The Citadel
Eastern Kentucky University,196300,ASUN,Eastern Kentucky
Louisiana State University and Agricultural & Mechanical College,201000,SEC,LSU
Mississippi State University,242300,SEC,Mississippi State
South Carolina State University,344600,MEAC,SC State
Tennessee Technological University,352300,OVC,Tennessee Tech
Texas A & M University-College Station,363200,SEC,Texas A&M
The University of Alabama,105100,SEC,Alabama
The University of Tennessee-Knoxville,353000,SEC,Tennessee
The University of Tennessee-Martin,353100,OVC,UT Martin
The University of Texas at Arlington,365600,WAC,UT Arlington
The University of Texas at Austin,365800,SEC,Texas
University of Arkansas,110800,SEC,Arkansas
University of Arkansas at Little Rock,110100,OVC,Little Rock
University of Arkansas at Pine Bluff,108600,SWAC,UAPB
University of Central Arkansas,109200,ASUN,Central Arkansas
University of Florida,153500,SEC,Florida
University of Georgia,159800,SEC,Georgia
University of Kentucky,198900,SEC,Kentucky
University of Mississippi,244000,SEC,Ole Miss
University of Missouri-Columbia,251600,SEC,Missouri
University of North Florida,984100,ASUN,North Florida
University of Oklahoma-Norman Campus,318400,SEC,Oklahoma
University of South Carolina-Columbia,344800,SEC,South Carolina
University of South Carolina-Upstate,695100,Big South,USC Upstate
Vanderbilt University,353500,SEC,Vanderbilt
East Tennessee State University,348700,SoCon,ETSU
Furman University,343400,SoCon,Furman
Mercer University,158000,SoCon,Mercer
Samford University,103600,SoCon,Samford
Tennessee State University,352200,OVC,Tennessee State
The University of Tennessee-Chattanooga,352900,SoCon,Chattanooga
Virginia Military Institute,375300,SoCon,VMI
Western Carolina University,298100,SoCon,Western Carolina
Wofford College,345700,SoCon,Wofford
