logo_filename,school,conference,conference_short,official_name,city,state,best_match_name,score,OPEID
2483.png,Oregon,Big Ten,B1G,University of Oregon,Eugene,OR,University of Oregon,100,322300
164.png,Rutgers,Big Ten,B1G,Rutgers University–New Brunswick,Piscataway,NJ,Rutgers University-New Brunswick,100,262900
30.png,USC,Big Ten,B1G,University of Southern California,Los Angeles,CA,University of Southern California,100,132800
275.png,Wisconsin,Big Ten,B1G,University of Wisconsin–Madison,Madison,WI,University of Wisconsin-Madison,100,389500
48.png,Delaware,Conference USA,CUSA,University of Delaware,Newark,DE,University of Delaware,100,143100
2229.png,Florida International,Conference USA,CUSA,Florida International University,Miami,FL,Florida International University,100,963500
55.png,Jacksonville State,Conference USA,CUSA,Jacksonville State University,Jacksonville,AL,Jacksonville State University,100,102000
338.png,Kennesaw State,Conference USA,CUSA,Kennesaw State University,Kennesaw,GA,Kennesaw State University,100,157700
2335.png,Liberty,Conference USA,CUSA,Liberty University,Lynchburg,VA,Liberty University,100,2053000
2348.png,Louisiana Tech,Conference USA,CUSA,Louisiana Tech University,Ruston,LA,Louisiana Tech University,100,200800
2393.png,Middle Tennessee,Conference USA,CUSA,Middle Tennessee State University,Murfreesboro,TN,Middle Tennessee State University,100,351000
2534.png,Sam Houston,Conference USA,CUSA,Sam Houston State University,Huntsville,TX,Sam Houston State University,100,360600
2638.png,UTEP,Conference USA,CUSA,The University of Texas at El Paso,El Paso,TX,The University of Texas at El Paso,100,366100
98.png,Western Kentucky,Conference USA,CUSA,Western Kentucky University,Bowling Green,KY,Western Kentucky University,100,200200
87.png,Notre Dame,FBS Independents,IND,University of Notre Dame,Notre Dame,IN,University of Notre Dame,100,184000
41.png,UConn,FBS Independents,IND,University of Connecticut,Storrs,CT,University of Connecticut,100,141700
2050.png,Ball State,Mid-American,MAC,Ball State University,Muncie,IN,Ball State University,100,178600
2084.png,Buffalo,Mid-American,MAC,University at Buffalo,Buffalo,NY,University at Buffalo,100,283700
2117.png,Central Michigan,Mid-American,MAC,Central Michigan University,Mount Pleasant,MI,Central Michigan University,100,224300
2199.png,Eastern Michigan,Mid-American,MAC,Eastern Michigan University,Ypsilanti,MI,Eastern Michigan University,100,225900
113.png,Massachusetts,Mid-American,MAC,University of Massachusetts Amherst,Amherst,MA,University of Massachusetts-Amherst,100,222100
2459.png,Northern Illinois,Mid-American,MAC,Northern Illinois University,DeKalb,IL,Northern Illinois University,100,173700
2711.png,Western Michigan,Mid-American,MAC,Western Michigan University,Kalamazoo,MI,Western Michigan University,100,233000
68.png,Boise State,Mountain West,MWC,Boise State University,Boise,ID,Boise State University,100,161600
21.png,San Diego State,Mountain West,MWC,San Diego State University,San Diego,CA,San Diego State University,100,115100
328.png,Utah State,Mountain West,MWC,Utah State University,Logan,UT,Utah State University,100,367700
2751.png,Wyoming,Mountain West,MWC,University of Wyoming,Laramie,WY,University of Wyoming,100,393200
204.png,Oregon State,Pac-12,Pac-12,Oregon State University,Corvallis,OR,Oregon State University,100,321000
265.png,Washington State,Pac-12,Pac-12,Washington State University,Pullman,WA,Washington State University,100,380000
333.png,Alabama,SEC,SEC,The University of Alabama,Tuscaloosa,AL,The University of Alabama,100,105100
8.png,Arkansas,SEC,SEC,University of Arkansas,Fayetteville,AR,University of Arkansas,100,110800
2.png,Auburn,SEC,SEC,Auburn University,Auburn,AL,Auburn University,100,100900
57.png,Florida,SEC,SEC,University of Florida,Gainesville,FL,University of Florida,100,153500
61.png,Georgia,SEC,SEC,University of Georgia,Athens,GA,University of Georgia,100,159800
96.png,Kentucky,SEC,SEC,University of Kentucky,Lexington,KY,University of Kentucky,100,198900
344.png,Mississippi State,SEC,SEC,Mississippi State University,Starkville,MS,Mississippi State University,100,242300
145.png,Ole Miss,SEC,SEC,University of Mississippi,Oxford,MS,University of Mississippi,100,244000
251.png,Texas,SEC,SEC,The University of Texas at Austin,Austin,TX,The University of Texas at Austin,100,365800
238.png,Vanderbilt,SEC,SEC,Vanderbilt University,Nashville,TN,Vanderbilt University,100,353500
2026.png,App State,Sun Belt,SBC,Appalachian State University,Boone,NC,Appalachian State University,100,290600
2032.png,Arkansas State,Sun Belt,SBC,Arkansas State University,Jonesboro,AR,Arkansas State University,100,109000
324.png,Coastal Carolina,Sun Belt,SBC,Coastal Carolina University,Conway,SC,Coastal Carolina University,100,345100
